,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
366,61,1,580,6,967,0,1615,0.1615,0.3671637740918584,0.1377156053537649,0.4700551127784845
367,61,1,583,6,968,0,1619,0.1619,0.36715223723572515,0.1374892619795408,0.46961869554570823
368,61,1,583,6,968,0,1619,0.1619,0.36715223723572515,0.1374892619795408,0.46961869554570823
369,61,1,586,6,970,0,1624,0.1624,0.3673655447853968,0.13772635832991453,0.46933255907486693
370,62,1,586,6,972,0,1627,0.1627,0.36722579301040836,0.13738849088057772,0.4691606076186696
371,62,1,586,6,977,0,1632,0.1632,0.36787336215250327,0.13693048491326354,0.4698992027168276
372,62,1,588,6,980,0,1637,0.1637,0.3693441149404452,0.13750669222351378,0.4699541210012012
373,62,1,590,6,981,0,1640,0.164,0.3686676605174774,0.13681776766827228,0.4697158927273062
374,62,1,591,6,981,0,1641,0.1641,0.36857831003651625,0.13658844918540733,0.46952373145700177
375,62,1,592,6,984,0,1645,0.1645,0.36948348027167255,0.13704538856169005,0.46977111608756567
376,62,1,592,6,987,0,1648,0.1648,0.3702495762641571,0.13772857002188627,0.4702085524748704
377,62,1,594,6,988,0,1651,0.1651,0.3697636909280329,0.13738265509579362,0.46997154960449244
378,63,1,595,6,991,0,1656,0.1656,0.3692025158772438,0.13726180891035963,0.4697560416717825
379,63,1,597,6,993,0,1660,0.166,0.37016787829514003,0.13736839035892393,0.46966581839717875
380,63,1,598,6,993,0,1661,0.1661,0.37053484657462954,0.137820103384083,0.46947599390219147
381,63,1,598,6,995,0,1663,0.1663,0.3715651363152868,0.1383819506942911,0.4697655150843931
382,63,1,599,6,996,0,1665,0.1665,0.372648785036037,0.138942299189649,0.46972052829054284
383,63,1,601,6,998,0,1669,0.1669,0.3725430205334224,0.13836424700964953,0.46963086074463156
384,63,1,602,6,1000,0,1672,0.1672,0.373655456320127,0.13936932300610394,0.46973009840688684
385,63,1,603,6,1003,0,1676,0.1676,0.37459455120745444,0.13980309762344384,0.4699723373650329
386,63,1,603,6,1005,0,1678,0.1678,0.3741475410031496,0.13935082657860523,0.47025845204595723
387,63,1,603,6,1009,0,1682,0.1682,0.37346079515722375,0.13843506231115313,0.47082819152980937
388,63,1,605,6,1011,0,1686,0.1686,0.3734305184127037,0.13752178364758322,0.47073702594750716
389,63,1,607,6,1011,0,1688,0.1688,0.37311275451844844,0.13740161179197022,0.47036282422381914
390,63,1,611,6,1011,0,1692,0.1692,0.3739150987079981,0.13850045874938888,0.46961620272245375
391,63,1,611,6,1015,0,1696,0.1696,0.37448502238939074,0.13959353167625113,0.47018352728178164
