Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
7,0,48,0,100,1,156,0.0156,0.0322043697043697,0.01550405388863686,0.5019915251996073
7,0,48,0,102,1,158,0.0158,0.0317967194549473,0.015030793807108821,0.5044983169277962
7,0,49,0,102,1,159,0.0159,0.03159674008730612,0.014797274588960312,0.5025215779288236
7,0,49,0,104,1,161,0.0161,0.03120423399926505,0.014336263640074053,0.5049733342993834
7,0,49,0,109,1,166,0.0166,0.034638988855856326,0.01625265993015196,0.5107938286343279
7,0,49,0,112,1,169,0.0169,0.039152300690762226,0.018543046495295923,0.5140892374773577
7,0,50,0,114,1,172,0.0172,0.04060119467096211,0.01780513040123961,0.5143625177155409
8,0,51,0,120,1,180,0.018,0.046808361391694725,0.02717416783872481,0.5146572790768299
8,0,52,0,123,1,184,0.0184,0.04579078831796223,0.026033893225025077,0.5158836883540469
8,0,53,0,126,1,188,0.0188,0.044816516226090695,0.02492986148954136,0.5170556667322289
8,0,57,0,128,1,194,0.0194,0.050689888576486514,0.028561875263972976,0.5123205906955756
8,0,58,0,132,1,199,0.0199,0.04941627328562002,0.027158272172070827,0.5144312403193877
8,0,60,0,135,1,204,0.0204,0.048205090116854823,0.025805736495781738,0.5139927467577644
8,0,61,0,137,1,207,0.0207,0.050205819408717954,0.025017180340992755,0.5142214692175396
9,0,65,0,141,1,216,0.0216,0.053752137779915554,0.022746678573666718,0.5083580725137343
9,0,67,0,143,1,220,0.022,0.055767250426341335,0.021780035902038718,0.5072182892079865
9,0,73,0,145,1,228,0.0228,0.059300081010607325,0.024374415080885954,0.5005599755730161
9,0,75,0,147,1,232,0.0232,0.060624409115788425,0.02559130337428688,0.4995922673993509
10,0,75,0,149,1,235,0.0235,0.06304196985048048,0.024848855810320626,0.4982425956867222
10,0,76,0,149,1,236,0.0236,0.06277484285958862,0.024604332301035335,0.496917921919926
10,0,76,0,153,1,240,0.024,0.06301827801827802,0.023634651600753273,0.5003405068256837
10,0,79,0,156,1,246,0.0246,0.06534303546498668,0.022229919204660484,0.49897668140599816
10,0,80,0,161,1,252,0.0252,0.06600758148377196,0.022890666020437034,0.5017618144064365
10,0,81,0,162,1,254,0.0254,0.06548783674767927,0.02243179767946793,0.5013121670431068
10,0,82,0,164,1,257,0.0257,0.06472338729148068,0.021752613406897273,0.501649239946346
10,0,82,0,166,1,259,0.0259,0.06525779025779026,0.021311630055707544,0.503187953755975
11,0,84,0,167,1,263,0.0263,0.06516303721626915,0.020431580586606185,0.49879101241388835
13,0,87,0,169,1,270,0.027,0.0634736251402918,0.018933317606353705,0.49144279553901127
14,0,90,0,170,1,275,0.0275,0.06444077134986226,0.017893805309734515,0.4861977712244287
14,0,90,0,172,1,277,0.0277,0.06397549502242643,0.017484792581729722,0.4877901521237127
15,0,92,0,174,1,282,0.0282,0.06284117773479476,0.01647851090956769,0.48459211243375044
15,0,92,0,175,1,283,0.0283,0.06468037263090266,0.01808216342424529,0.4853795981158651
15,0,93,0,178,1,287,0.0287,0.06636310843627917,0.01904963940874441,0.486627901059596
16,0,94,0,179,1,290,0.029,0.07173023336816439,0.021952515946137487,0.4838374844616336
16,0,96,0,181,1,294,0.0294,0.07650828007970865,0.026304843502692448,0.4832767821070913
16,0,98,0,184,1,299,0.0299,0.07522887740279045,0.025170597972249405,0.4834844792760256
16,0,98,0,186,1,301,0.0301,0.07565186751233262,0.024724014968663686,0.4849748452975125
16,0,99,0,189,1,305,0.0305,0.07534277198211625,0.023842602015596754,0.48615570396288454
16,0,100,0,190,1,307,0.0307,0.07485193959135328,0.023407617291463796,0.48587370406773883
