beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.88671875,0.48046875,0.94140625,0.86328125,0.36328125,0.19140625,0.75390625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.37109375,0.70703125,0.94140625,0.86328125,0.36328125,0.19140625,0.75390625,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.37109375,0.48046875,0.41796875,0.86328125,0.36328125,0.19140625,0.75390625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.37109375,0.48046875,0.94140625,0.31640625,0.36328125,0.19140625,0.75390625,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.37109375,0.48046875,0.94140625,0.86328125,0.02734375,0.19140625,0.75390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.37109375,0.48046875,0.94140625,0.86328125,0.36328125,0.05078125,0.75390625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.37109375,0.48046875,0.94140625,0.86328125,0.36328125,0.19140625,0.23828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.37109375,0.48046875,0.94140625,0.86328125,0.36328125,0.19140625,0.75390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.45703125,0.66796875,0.56640625,0.27734375,0.30078125,0.98828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.12109375,0.45703125,0.66796875,0.56640625,0.27734375,0.30078125,0.98828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.23046875,0.66796875,0.56640625,0.27734375,0.30078125,0.98828125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.63671875,0.45703125,0.69140625,0.56640625,0.27734375,0.30078125,0.98828125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.63671875,0.45703125,0.66796875,0.61328125,0.27734375,0.30078125,0.98828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.45703125,0.66796875,0.56640625,0.11328125,0.30078125,0.98828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.45703125,0.66796875,0.56640625,0.27734375,0.94140625,0.98828125,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.45703125,0.66796875,0.56640625,0.27734375,0.30078125,0.00390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.63671875,0.23046875,0.69140625,0.61328125,0.11328125,0.94140625,0.00390625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.12109375,0.45703125,0.69140625,0.61328125,0.11328125,0.94140625,0.00390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.12109375,0.23046875,0.66796875,0.61328125,0.11328125,0.94140625,0.00390625,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.12109375,0.23046875,0.69140625,0.56640625,0.11328125,0.94140625,0.00390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.12109375,0.23046875,0.69140625,0.61328125,0.27734375,0.94140625,0.00390625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.12109375,0.23046875,0.69140625,0.61328125,0.11328125,0.30078125,0.00390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.12109375,0.23046875,0.69140625,0.61328125,0.11328125,0.94140625,0.98828125,275.0,81.0,589.0,53.0,553.0,15.0,9928.0
0.12109375,0.23046875,0.69140625,0.61328125,0.11328125,0.94140625,0.00390625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.13671875,0.95703125,0.16796875,0.06640625,0.77734375,0.80078125,0.48828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.62109375,0.95703125,0.16796875,0.06640625,0.77734375,0.80078125,0.48828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.13671875,0.73046875,0.16796875,0.06640625,0.77734375,0.80078125,0.48828125,309.0,71.0,596.0,54.0,581.0,20.0,9916.0
0.13671875,0.95703125,0.19140625,0.06640625,0.77734375,0.80078125,0.48828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.13671875,0.95703125,0.16796875,0.11328125,0.77734375,0.80078125,0.48828125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.13671875,0.95703125,0.16796875,0.06640625,0.61328125,0.80078125,0.48828125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.13671875,0.95703125,0.16796875,0.06640625,0.77734375,0.44140625,0.48828125,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.13671875,0.95703125,0.16796875,0.06640625,0.77734375,0.80078125,0.50390625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.13671875,0.73046875,0.19140625,0.11328125,0.61328125,0.44140625,0.50390625,300.0,108.0,598.0,66.0,577.0,25.0,9974.0
0.62109375,0.95703125,0.19140625,0.11328125,0.61328125,0.44140625,0.50390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.62109375,0.73046875,0.16796875,0.11328125,0.61328125,0.44140625,0.50390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.62109375,0.73046875,0.19140625,0.06640625,0.61328125,0.44140625,0.50390625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.62109375,0.73046875,0.19140625,0.11328125,0.77734375,0.44140625,0.50390625,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.62109375,0.73046875,0.19140625,0.11328125,0.61328125,0.80078125,0.50390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.62109375,0.73046875,0.19140625,0.11328125,0.61328125,0.44140625,0.48828125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.62109375,0.73046875,0.19140625,0.11328125,0.61328125,0.44140625,0.50390625,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.19921875,0.01953125,0.73046875,0.25390625,0.46484375,0.98828125,0.67578125,273.0,119.0,589.0,57.0,620.0,19.0,9977.0
0.80859375,0.01953125,0.73046875,0.25390625,0.46484375,0.98828125,0.67578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.19921875,0.91796875,0.73046875,0.25390625,0.46484375,0.98828125,0.67578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.19921875,0.01953125,0.50390625,0.25390625,0.46484375,0.98828125,0.67578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.19921875,0.01953125,0.73046875,0.05078125,0.46484375,0.98828125,0.67578125,261.0,88.0,584.0,63.0,592.0,16.0,9958.0
0.19921875,0.01953125,0.73046875,0.25390625,0.67578125,0.98828125,0.67578125,250.0,17.0,530.0,25.0,579.0,9.0,9772.0
0.19921875,0.01953125,0.73046875,0.25390625,0.46484375,0.12890625,0.67578125,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
0.19921875,0.01953125,0.73046875,0.25390625,0.46484375,0.98828125,0.06640625,286.0,110.0,568.0,67.0,619.0,23.0,9976.0
0.19921875,0.91796875,0.50390625,0.05078125,0.67578125,0.12890625,0.06640625,266.0,130.0,596.0,76.0,574.0,21.0,9983.0
