,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
207,239,16,731,19,663,1,1669,0.1669,0.3042137200470534,0.0797618399819069,0.28708185615053994
208,241,16,732,19,669,1,1678,0.1678,0.30441960551727576,0.07898732679901453,0.28795726615099104
209,242,16,737,19,671,1,1686,0.1686,0.30452456860750554,0.07942195054763135,0.28750262354889794
210,242,16,739,19,672,1,1689,0.1689,0.3045723276064522,0.07916430515620498,0.2875536336595215
211,243,16,746,19,676,1,1701,0.1701,0.3041251855261873,0.07846845342552453,0.28746084916734
212,245,16,751,19,677,1,1709,0.1709,0.3056032571208524,0.07822455794149386,0.2862883627526136
213,248,16,752,19,681,1,1717,0.1717,0.30681324335002097,0.07897259895206889,0.28612343088841286
214,250,16,754,19,685,1,1725,0.1725,0.3084373556264899,0.080039659423367,0.28625117578555237
215,250,16,755,19,690,1,1731,0.1731,0.3087908512705849,0.07951292514466687,0.28763257446426643
216,251,16,758,20,699,1,1745,0.1745,0.3116212485899448,0.08176119157481775,0.2894009960880184
217,251,17,762,20,704,1,1755,0.1755,0.313116798646496,0.08172934470782073,0.28996579952721985
218,251,17,764,20,709,1,1762,0.1762,0.31451192199912337,0.08261576245176594,0.2911799505118499
219,252,17,771,20,711,1,1772,0.1772,0.31556936731569085,0.08224947940556407,0.29048763113360243
220,254,17,772,20,712,1,1776,0.1776,0.31683353406688625,0.0827464389321764,0.2898439991147083
221,255,17,779,21,713,1,1786,0.1786,0.31600331720281216,0.08129151152286339,0.28875139970050423
222,257,17,781,21,715,1,1792,0.1792,0.3170635425039787,0.0810673305562311,0.28828379359741
223,258,17,781,21,717,1,1795,0.1795,0.3173048282135384,0.08047523347059883,0.2884610182060762
224,260,17,783,22,718,1,1801,0.1801,0.3174605884747788,0.08024997356175971,0.2875879877344336
225,261,17,784,22,723,1,1808,0.1808,0.3200544705048585,0.08236719494735273,0.28850685093896883
226,262,17,784,22,727,1,1813,0.1813,0.32095458055242465,0.08295652287695836,0.28925267051651904
227,262,17,788,22,729,1,1819,0.1819,0.3214139724676915,0.08271739973114385,0.2893417009712513
228,264,17,790,22,733,1,1827,0.1827,0.322413629675012,0.08334048116304238,0.2894470688629309
229,264,17,790,22,735,1,1829,0.1829,0.32306029966988875,0.08357333577921816,0.2900113181871779
230,265,17,793,22,740,1,1838,0.1838,0.324531840841819,0.08303947846325817,0.2906653054447963
231,266,17,793,22,744,1,1843,0.1843,0.326637863526118,0.0840821531018512,0.2913904922241673
232,267,17,796,22,750,1,1853,0.1853,0.32704368298608427,0.08304400047728333,0.29230756323187723
233,268,17,798,22,752,1,1858,0.1858,0.32838981781133886,0.08391840612457292,0.29223431517805515
234,268,18,798,22,757,1,1864,0.1864,0.32919346110878367,0.08500768303290544,0.2932191077297978
235,269,18,801,22,763,1,1874,0.1874,0.3302794375855873,0.08487626959081146,0.2941136601384036
236,272,18,803,22,765,1,1881,0.1881,0.3310800377329413,0.08471894750630385,0.29327128692373144
237,272,19,806,22,770,1,1890,0.189,0.3322194073453352,0.08483223522574233,0.2938884866867917
238,273,19,808,22,774,1,1897,0.1897,0.33270105855288107,0.08542951309116131,0.2943483394810828
239,276,19,809,22,778,1,1905,0.1905,0.33399752462745624,0.08536534131862612,0.2941650233902459
240,277,19,810,22,779,1,1908,0.1908,0.33446541568259003,0.08537803547596133,0.29393856297794363
241,279,19,814,22,782,2,1918,0.1918,0.3362383734053013,0.08429464010665294,0.2937884948960952
242,279,19,815,22,786,2,1923,0.1923,0.33721966253883917,0.08511604051919551,0.2947302359385784
243,279,19,817,22,791,2,1930,0.193,0.33908757029862946,0.08793866181737463,0.2958128281975185
244,281,19,817,22,794,2,1935,0.1935,0.3390529424255473,0.08724470886983862,0.29585162488982214
245,281,19,818,22,795,2,1937,0.1937,0.3395643551424721,0.08744653029702162,0.29599774049005817
246,284,19,821,22,798,2,1946,0.1946,0.3401556640807413,0.0880416875458844,0.29532448996338073
247,285,19,824,22,803,2,1955,0.1955,0.3418961776022258,0.08912786722146751,0.29590948832911995
248,286,20,827,22,804,2,1961,0.1961,0.3420696553489093,0.0891262844690744,0.2950940984508305
249,286,20,828,22,805,2,1963,0.1963,0.3418949517455646,0.08872819149178217,0.2952391242288764
250,286,20,830,22,812,2,1972,0.1972,0.34158423412998906,0.08842951562989027,0.2968073202406812
251,288,20,832,22,814,2,1978,0.1978,0.3419392744722192,0.08812140220722299,0.2963637998528781
252,290,20,833,22,819,2,1986,0.1986,0.34389467521092965,0.09005412643858855,0.29679515305136617
253,291,20,836,22,825,2,1996,0.1996,0.3443024335729007,0.09039485191027857,0.29761167249421483
254,293,20,838,22,826,2,2001,0.2001,0.34491989654189054,0.09085600946662215,0.2969207554365682
255,295,20,840,22,832,2,2011,0.2011,0.34690030460843024,0.09210545329274153,0.297483242003278
256,297,20,842,22,834,2,2017,0.2017,0.3470977050065022,0.09177599908093041,0.29704690119986915
257,299,20,843,22,838,2,2024,0.2024,0.3474634241164702,0.09153465814358934,0.29721880613069357
258,299,20,850,23,840,2,2034,0.2034,0.348872006505077,0.0912682379349046,0.29683870523035577
259,300,21,852,23,842,2,2040,0.204,0.3493712177803087,0.09236704155363072,0.29640888792346026
260,301,21,856,23,844,2,2047,0.2047,0.34926921144477463,0.0915431056277066,0.29611630082414947
261,305,21,859,23,844,2,2054,0.2054,0.34959532699283796,0.09043539120628959,0.2943920415189038
262,307,22,863,23,848,2,2065,0.2065,0.35094496051413526,0.09052408559470702,0.2939029863678673
263,307,23,867,23,850,2,2072,0.2072,0.3520250988864922,0.09027375728898929,0.29362137479032047
264,309,23,868,23,855,2,2080,0.208,0.3545686395264709,0.09066226852487368,0.2940455031196391
265,311,23,870,23,857,2,2086,0.2086,0.3562459838468969,0.09172262481807388,0.2936323125634188
266,315,23,873,23,860,2,2096,0.2096,0.3575084999224167,0.09253223949822975,0.2926745747003392
267,318,23,877,23,862,2,2105,0.2105,0.35914865623794195,0.0925642315786339,0.2917195015845359
268,318,23,878,23,866,2,2110,0.211,0.3597524203165533,0.09268406756464997,0.29258301722687285
269,319,23,880,23,868,2,2115,0.2115,0.36045327303028724,0.09391402796722469,0.2925182616751976
270,321,23,881,23,871,2,2121,0.2121,0.36150777585678345,0.09397317905618686,0.29245910624714816
271,322,23,884,23,875,2,2129,0.2129,0.3627656692804998,0.09514499211275682,0.29277038500730823
272,323,23,887,23,877,2,2135,0.2135,0.36483232534288873,0.09597695031085196,0.2926032050007537
273,325,23,892,23,879,2,2144,0.2144,0.3653951166749203,0.09499639276159165,0.29189830783244153
274,325,23,894,23,882,2,2149,0.2149,0.3653205476374786,0.09427296936063383,0.2924067386230247
275,328,23,900,23,888,2,2164,0.2164,0.36663929516523314,0.09465564649554704,0.29221807571940667
276,329,23,900,23,890,2,2167,0.2167,0.3666095987731048,0.094602619695476,0.2923575382853156
277,329,23,905,23,892,2,2174,0.2174,0.3677623878350019,0.09455395099748225,0.292322760956627
278,330,23,907,23,897,2,2182,0.2182,0.3683229708510721,0.09489679198700382,0.292960522870072
279,332,23,912,24,901,2,2194,0.2194,0.3700378789705772,0.09573956693153089,0.2926341378524695
280,333,23,916,24,906,2,2204,0.2204,0.3713415100312219,0.0959931995706105,0.2930655980223958
281,335,23,922,24,907,2,2213,0.2213,0.37254178339036875,0.09553836291966047,0.2920520434230533
282,336,23,926,24,912,2,2223,0.2223,0.3737814507330632,0.09568251496563873,0.29248279222899115
283,336,23,930,24,918,2,2233,0.2233,0.3739536293973801,0.09538262950743219,0.2934580939068077
284,336,23,931,24,923,3,2240,0.224,0.3757196281150091,0.09631073494208232,0.2947184544305396
285,337,23,932,25,924,3,2244,0.2244,0.3767080294452677,0.09740470075425822,0.2944275122598767
286,337,23,934,25,926,3,2248,0.2248,0.37691993793361445,0.09766357554015727,0.2946817087048008
287,338,24,938,25,928,3,2256,0.2256,0.3775477530935889,0.09784839598150225,0.2941028866242785
288,338,25,940,25,933,3,2264,0.2264,0.37981533836056924,0.09967063298531442,0.2947099108965269
