beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.59375,0.21875,0.71875,0.34375,0.15625,0.40625,0.40625,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
0.59375,0.21875,0.40625,0.40625,0.15625,0.40625,0.40625,819.0,3001.0,1934.0,1471.0,1755.0,375.0,9355.0
0.59375,0.21875,0.40625,0.34375,0.03125,0.40625,0.40625,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.59375,0.21875,0.40625,0.34375,0.15625,0.71875,0.40625,783.0,3102.0,1976.0,1155.0,1725.0,320.0,9061.0
0.59375,0.21875,0.40625,0.34375,0.15625,0.40625,0.28125,752.0,1875.0,1943.0,919.0,1659.0,242.0,7390.0
0.59375,0.21875,0.40625,0.34375,0.15625,0.40625,0.40625,753.0,975.0,1654.0,628.0,1709.0,156.0,5875.0
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,0.90625,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.21875,0.09375,0.84375,0.28125,0.15625,0.84375,0.90625,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.46875,0.59375,0.84375,0.28125,0.15625,0.84375,0.90625,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.46875,0.09375,0.53125,0.28125,0.15625,0.84375,0.90625,783.0,1037.0,1548.0,606.0,1486.0,67.0,5527.0
0.46875,0.09375,0.84375,0.96875,0.15625,0.84375,0.90625,492.0,225.0,1620.0,423.0,1644.0,149.0,4553.0
0.46875,0.09375,0.84375,0.28125,0.03125,0.84375,0.90625,492.0,225.0,1620.0,423.0,1644.0,149.0,4553.0
0.46875,0.09375,0.84375,0.28125,0.15625,0.78125,0.90625,444.0,91.0,1601.0,324.0,1665.0,177.0,4302.0
0.46875,0.09375,0.84375,0.28125,0.15625,0.84375,0.03125,444.0,91.0,1601.0,324.0,1665.0,177.0,4302.0
0.46875,0.59375,0.53125,0.96875,0.03125,0.78125,0.03125,327.0,21.0,1319.0,83.0,1574.0,66.0,3390.0
0.21875,0.09375,0.53125,0.96875,0.03125,0.78125,0.03125,327.0,21.0,1319.0,83.0,1574.0,66.0,3390.0
0.21875,0.59375,0.84375,0.96875,0.03125,0.78125,0.03125,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.21875,0.59375,0.53125,0.28125,0.03125,0.78125,0.03125,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.21875,0.59375,0.53125,0.96875,0.15625,0.78125,0.03125,783.0,1037.0,1548.0,606.0,1486.0,67.0,5527.0
0.21875,0.59375,0.53125,0.96875,0.03125,0.84375,0.03125,783.0,1037.0,1548.0,606.0,1486.0,67.0,5527.0
0.21875,0.59375,0.53125,0.96875,0.03125,0.78125,0.90625,311.0,4.0,1280.0,39.0,1478.0,39.0,3151.0
0.21875,0.59375,0.53125,0.96875,0.03125,0.78125,0.03125,311.0,4.0,1280.0,39.0,1478.0,39.0,3151.0
0.96875,0.59375,0.34375,0.78125,0.65625,0.34375,0.40625,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
0.71875,0.59375,0.34375,0.78125,0.65625,0.34375,0.40625,748.0,2095.0,1869.0,1637.0,1675.0,408.0,8432.0
0.96875,0.09375,0.34375,0.78125,0.65625,0.34375,0.40625,586.0,961.0,1812.0,1145.0,1757.0,379.0,6640.0
0.96875,0.59375,0.03125,0.78125,0.65625,0.34375,0.40625,690.0,1526.0,1817.0,1416.0,1760.0,366.0,7575.0
0.96875,0.59375,0.34375,0.46875,0.65625,0.34375,0.40625,816.0,2779.0,1999.0,1771.0,1674.0,443.0,9482.0
0.96875,0.59375,0.34375,0.78125,0.53125,0.34375,0.40625,716.0,1661.0,1839.0,1410.0,1766.0,384.0,7776.0
