Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
106,11,424,8,323,2,874,0.0874,0.18899884440502288,0.06064814497262316,0.2772585292824907
110,11,428,8,326,2,885,0.0885,0.18973149261284855,0.059523610249982456,0.2748687659001261
110,11,429,8,330,2,890,0.089,0.19202076637469895,0.059671483222838564,0.2770851177148854
111,11,431,8,331,2,894,0.0894,0.19250389493678086,0.05942770387704625,0.27640908584962726
112,11,435,8,334,2,902,0.0902,0.19168346127880495,0.05776100294572456,0.27647781491844886
113,11,436,8,335,2,905,0.0905,0.19104804649003543,0.0571382561947777,0.276046660001378
114,11,444,8,338,2,917,0.0917,0.19181997270874043,0.05758625673988729,0.2751933738617239
117,11,446,8,341,2,925,0.0925,0.19256135579187525,0.05710199565943107,0.2741671544629331
118,11,449,8,344,2,932,0.0932,0.19206786768548315,0.05624077375752203,0.2744787152272828
118,11,454,8,348,2,941,0.0941,0.19254401626742051,0.054977711738484376,0.27568421634288215
118,11,462,8,348,2,949,0.0949,0.19399247611272927,0.05562017035723831,0.2738984135844034
120,11,465,8,350,2,956,0.0956,0.19464071995485607,0.05532526348376844,0.27287555363713106
122,11,473,8,351,2,967,0.0967,0.1947568304711162,0.054769988142320494,0.27021243511111964
122,11,477,8,354,2,974,0.0974,0.19450335550027223,0.05391645147106733,0.27106710549084817
124,11,479,8,358,2,982,0.0982,0.19680049817664497,0.0545088973072778,0.2714288270523926
127,11,482,8,362,2,992,0.0992,0.1967848050592753,0.053056855172325924,0.27084675416269244
129,11,486,8,367,2,1003,0.1003,0.19773177033656075,0.053565990872412525,0.27133880900528845
131,11,489,8,369,2,1010,0.101,0.19869139229892452,0.05485090166398019,0.2703869265354995
131,11,490,8,372,2,1014,0.1014,0.2014010832865719,0.05564702270793422,0.271819613686956
131,12,493,8,377,2,1023,0.1023,0.2035848745731329,0.05615492086518462,0.27319734105930377
132,13,495,10,384,2,1036,0.1036,0.20659329398459833,0.056902135273970485,0.2747045510985349
135,13,498,10,389,2,1047,0.1047,0.2097900240825671,0.05831250666969602,0.27464488981470386
137,13,502,10,390,2,1054,0.1054,0.2099103544972491,0.057935529463631896,0.2729962591631964
137,13,508,10,394,2,1064,0.1064,0.21174301552946895,0.060270609072199915,0.2738786179330261
139,13,511,10,397,2,1072,0.1072,0.21391435102919695,0.06169109879542297,0.27347954615854037
139,13,515,10,399,2,1078,0.1078,0.21452879113046244,0.06248687406373169,0.27371821370791743
141,13,517,10,402,2,1085,0.1085,0.2168173872048411,0.06456494978467385,0.27351856832654803
143,14,518,10,408,2,1095,0.1095,0.21774940984264565,0.06471214756114145,0.2743563384118651
145,14,524,10,410,2,1105,0.1105,0.22146415380111031,0.06513415437121158,0.2729003136475683
146,14,530,10,413,2,1115,0.1115,0.2229022373995444,0.06457372541377847,0.27260579363243087
146,14,531,10,418,2,1121,0.1121,0.22366000319125318,0.06384019660790656,0.27486563433102235
146,14,534,10,422,2,1128,0.1128,0.22421655786784447,0.06435486202771562,0.27623842672822896
148,14,537,10,426,2,1137,0.1137,0.22547961135109024,0.06540961960954336,0.2763239234682815
149,14,543,10,428,2,1146,0.1146,0.22969189471372878,0.0669084178498182,0.27553558998998345
150,14,548,10,431,2,1155,0.1155,0.2311954942804163,0.06649977593946352,0.2754126185554037
150,14,550,10,432,2,1158,0.1158,0.2310281766634403,0.06588955971840861,0.2755186347937988
150,14,555,10,434,2,1165,0.1165,0.23436323603849374,0.06681481754732561,0.2755478211530195
150,14,558,10,439,2,1173,0.1173,0.23547964170831062,0.06659541191648469,0.27732696638593773
151,14,563,10,440,2,1180,0.118,0.23681994190900044,0.06710768094291562,0.27627486568514686
152,14,566,10,444,2,1188,0.1188,0.23870601924519363,0.0673223351983945,0.27696291694135516
155,14,569,10,445,2,1195,0.1195,0.2383115953467712,0.06682072606654024,0.27507279895821696
156,14,571,10,447,2,1200,0.12,0.23961138018685973,0.06672900208949893,0.27503014709002266
157,14,572,10,449,2,1204,0.1204,0.24142025656988253,0.06683080808080807,0.2751627246259118
159,15,573,11,452,2,1212,0.1212,0.24138846060811378,0.06652635714862101,0.27438156207306585
161,15,574,11,456,2,1219,0.1219,0.2409863922794957,0.06556283842542057,0.27482007184271967
162,15,575,11,459,2,1224,0.1224,0.241253645055771,0.06591307647214606,0.27539602843099314
162,15,580,11,463,2,1233,0.1233,0.24280756671178752,0.06649506464378403,0.2763060888361073
165,15,581,11,465,2,1239,0.1239,0.2444194694194694,0.06661671874887397,0.2752683436264253
166,15,585,12,468,2,1248,0.1248,0.24734953854841585,0.06834089288638347,0.275156532459418
167,15,587,12,471,2,1254,0.1254,0.24861446303984214,0.06844917805228026,0.27554925880801423
167,15,592,12,472,2,1260,0.126,0.24944938787273976,0.0689892147349689,0.27514447704302797
168,15,593,12,476,2,1266,0.1266,0.250079705099468,0.07068656229615133,0.27612914575726827
168,15,598,12,478,2,1273,0.1273,0.25036939824675675,0.07100135034016325,0.27615264314272353
