Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
30,4,115,4,67,2,222,0.0222,0.04945854945854945,0.016610851537607337,0.2190713316167955
33,4,120,4,71,2,234,0.0234,0.05681910681910682,0.022838745627091043,0.2173886399449616
34,4,124,4,73,2,241,0.0241,0.059110668031829856,0.021204096045197716,0.21699516180955877
35,5,131,4,79,2,256,0.0256,0.06635086918290044,0.023897102142376933,0.2220255730658048
36,5,136,4,80,2,263,0.0263,0.06800692969894491,0.024237055170822537,0.21842174036116724
36,5,146,4,81,2,274,0.0274,0.06744807301376644,0.021758791455117638,0.21441529562987208
36,5,150,4,88,2,285,0.0285,0.06847054504949242,0.023008220286106922,0.22807320557169733
39,6,153,4,93,2,297,0.0297,0.07443421711098479,0.025596054789900496,0.22734842848363224
39,6,153,4,93,2,297,0.0297,0.07443421711098479,0.025596054789900496,0.22734842848363224
40,6,159,4,95,2,306,0.0306,0.07387896235935452,0.025279669378553433,0.22563621940453338
42,6,163,4,97,2,314,0.0314,0.07540888870506705,0.026786813845770387,0.22289846946587413
45,6,169,4,99,2,325,0.0325,0.0758053058053058,0.024367718101733445,0.21703675639270573
47,6,172,4,102,2,333,0.0333,0.07905600405600405,0.027295705426197258,0.21712309395893672
47,6,176,4,102,2,337,0.0337,0.07811765385949362,0.02641326724091228,0.21506486812092943
48,6,183,4,102,2,345,0.0345,0.07881830729656816,0.024689172435396835,0.2095158936708222
51,6,184,4,102,2,349,0.0349,0.07889734429849042,0.02531893034410776,0.20298516606074454
53,6,188,4,103,2,356,0.0356,0.0773459920229583,0.023857420063277488,0.20084377432186828
55,6,189,4,107,2,363,0.0363,0.07773348475827814,0.025254459285333652,0.20237901238355796
56,6,194,4,110,2,372,0.0372,0.07585283593348109,0.023390996586009075,0.20378620632327568
60,6,200,4,119,2,391,0.0391,0.07344566487788994,0.02096076062885484,0.20965190033883743
60,6,208,4,124,2,404,0.0404,0.07322672514504197,0.02103004407242413,0.21453698689107994
60,6,211,4,131,2,414,0.0414,0.07953249782959927,0.022863138854925413,0.22431263802913856
62,6,218,4,135,2,427,0.0427,0.08458576292299946,0.028021187571015526,0.22406562046777503
63,6,220,4,141,2,436,0.0436,0.08712107209813633,0.028554967056393033,0.23037796388434964
64,6,223,4,144,2,443,0.0443,0.0907159557272424,0.0294566094318292,0.2317871238904002
67,6,227,4,148,2,454,0.0454,0.09386552018710609,0.02948611354463784,0.23099545071891558
68,6,231,4,150,2,461,0.0461,0.0965797819919295,0.030482866529432565,0.23059144362245876
68,6,235,4,150,2,465,0.0465,0.09627126159384224,0.029657539556857605,0.22902593604935687
70,6,241,4,151,2,474,0.0474,0.09541818881142348,0.028931639066545167,0.22507382250814256
72,7,245,4,153,2,483,0.0483,0.09386704236289299,0.027135447752962054,0.22184881855672142
73,8,249,4,156,2,492,0.0492,0.09458325675229952,0.027674506179179086,0.2214687528558641
75,8,252,4,162,2,503,0.0503,0.09814531970906472,0.029659796889421386,0.22526401810663307
78,8,253,4,169,2,514,0.0514,0.10384584551251218,0.030517203100998484,0.22942412227707262
80,8,257,4,171,2,522,0.0522,0.10350345431919328,0.029919456144239995,0.22773933494842957
