Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
13,1,175,0,338,1,528,0.0528,0.17649430206464428,0.07927403358847997,0.5067213684885181
13,1,176,0,340,1,531,0.0531,0.17739124979200593,0.07938965208347849,0.5068534757500668
13,1,177,0,343,1,535,0.0535,0.17694155438057876,0.07921484766883154,0.5073448372623822
13,1,177,0,344,1,536,0.0536,0.17708579913636094,0.07989759439961186,0.5077039708498675
13,1,178,0,345,1,538,0.0538,0.17951893670177252,0.0802835777053223,0.507471628861733
13,1,181,0,347,1,543,0.0543,0.17869532398183047,0.07981781418756245,0.5064276794215692
13,1,183,0,353,1,551,0.0551,0.17859810701340756,0.0794449681263172,0.5073887236770808
13,1,185,0,358,1,558,0.0558,0.179920998266322,0.07934768423358549,0.5079776371692973
13,1,188,0,359,1,562,0.0562,0.18121025304061017,0.07915567050484362,0.5066231614040304
13,1,190,0,362,1,567,0.0567,0.18012284667151923,0.07776655165146457,0.5065302184797061
13,1,191,0,367,1,573,0.0573,0.18141249588618008,0.0788489109566469,0.5076674658217084
13,1,192,0,367,1,574,0.0574,0.18158126170385364,0.0785727600358395,0.5071143871903936
13,1,194,0,371,1,580,0.058,0.18297220784222518,0.07962493970091654,0.5073522636161073
13,1,196,0,376,1,587,0.0587,0.18530590889323767,0.08303606339451024,0.5079128972316586
13,1,199,0,379,1,593,0.0593,0.18563357546408393,0.08224658183299666,0.5072777348906663
13,1,199,0,380,1,594,0.0594,0.18531947465957618,0.0819693750484711,0.5076023571034406
13,1,201,0,381,1,597,0.0597,0.18438351771685105,0.08114175043392964,0.5068608069268898
13,1,204,0,381,1,600,0.06,0.18742123314987638,0.08205917874396133,0.5052718731443288
13,1,206,0,386,1,607,0.0607,0.18864185850940818,0.08530506146561062,0.5058405938633244
14,1,207,0,387,1,610,0.061,0.18997672655003792,0.08532604603795413,0.5044487509212149
14,1,209,0,390,1,615,0.0615,0.19143583359269634,0.08648259714370814,0.5043801495237087
14,1,210,0,393,1,619,0.0619,0.1909232632446918,0.08621424211970019,0.5048234881809983
15,1,211,0,398,1,626,0.0626,0.19200431279082963,0.08678812220953709,0.5047263092391133
16,1,211,0,398,1,627,0.0627,0.19169661357161358,0.0865109381772418,0.50356820118934
16,1,214,0,400,1,632,0.0632,0.19204651557592733,0.08596188311672395,0.5026945294621569
16,1,215,0,401,1,634,0.0634,0.1924157810845608,0.08541312332782287,0.5025108814423486
16,1,215,0,405,1,638,0.0638,0.19416646782788516,0.0867830442496314,0.5037596895432332
16,1,216,0,408,1,642,0.0642,0.19698448829904228,0.0881333726420969,0.504191134076263
16,1,219,0,413,1,650,0.065,0.19948134469,0.0891594405594406,0.5042483466015585
16,1,221,0,413,1,652,0.0652,0.19886661019172575,0.0886084267025566,0.5032775799135178
19,1,227,0,416,1,664,0.0664,0.2003928413156855,0.0884914146978128,0.49801893029638117
19,1,228,0,417,1,666,0.0666,0.19978833802363216,0.08794164413430473,0.4978564262694973
19,1,228,0,420,1,669,0.0669,0.20020756687423355,0.08869799594798151,0.49877880079021625
19,1,230,0,422,1,673,0.0673,0.2024593482802438,0.08839477827254326,0.49845316930520633
19,1,231,0,424,1,676,0.0676,0.20253506193327886,0.0891376384939038,0.4985952881720797
19,1,232,0,429,1,682,0.0682,0.20708754917149616,0.09213862971170303,0.49963556083584165
19,1,232,0,429,1,682,0.0682,0.20708754917149616,0.09213862971170303,0.49963556083584165
19,1,232,0,433,1,686,0.0686,0.2064115849987007,0.09104641564953238,0.5008199301198878
20,1,236,0,436,1,694,0.0694,0.20670259552314543,0.09040258843143924,0.49882901085435966
20,1,236,0,438,1,696,0.0696,0.20766930279917292,0.0906193593950252,0.4994161673882836
20,1,237,0,443,1,702,0.0702,0.20781806414853626,0.08976059266247617,0.5004177852929234
20,1,238,0,447,1,707,0.0707,0.20953416059950153,0.09140549139576615,0.5011163438460979
20,1,239,0,448,1,709,0.0709,0.2089405794080015,0.09086919512428883,0.5009561480545511
20,1,242,0,450,1,714,0.0714,0.21094052845107694,0.09174810505818576,0.500197312557987
20,1,245,0,458,1,725,0.0725,0.2149899769359603,0.09174304986446444,0.5011300361872766
21,1,246,0,459,1,728,0.0728,0.21483599542220233,0.09094708685112429,0.49997683144380983
22,1,246,0,466,1,736,0.0736,0.21249126423069126,0.08884660421545668,0.5009189603175851
22,1,248,0,467,1,739,0.0739,0.21162513136018574,0.08806704466425021,0.5003399098974431
22,1,249,0,470,1,743,0.0743,0.21048121173121176,0.08702827851219849,0.5007330781285239
23,1,249,0,474,1,748,0.0748,0.21082633622902078,0.08574811340512555,0.5008424091430422
23,1,253,0,474,1,752,0.0752,0.21405831616393114,0.08613542212300347,0.499167093926721
23,1,254,0,475,1,754,0.0754,0.213487493987494,0.08563289015815205,0.499021052901389
23,1,255,0,478,1,758,0.0758,0.2152663906974252,0.08681988548222112,0.4994143379787497
23,1,257,0,480,1,762,0.0762,0.21413042029796647,0.08580437976489194,0.4991241138632942
23,1,260,0,485,1,770,0.077,0.21549606471277488,0.08653292171267228,0.4992250405852457
23,1,261,0,487,1,773,0.0773,0.21465537785433753,0.08577656988400974,0.4993460777441294
24,1,265,0,490,1,781,0.0781,0.21280278423135565,0.08377886935029037,0.4975887031753062
24,1,266,0,492,1,784,0.0784,0.2135456672956673,0.0838298230573075,0.4977146196123942
24,1,266,0,496,1,788,0.0788,0.2148421625143564,0.08485629406321585,0.49875875103472894
25,1,267,0,499,1,793,0.0793,0.21610606334940935,0.08562139606641773,0.4982222235191098
25,1,267,0,501,1,795,0.0795,0.21743039935201755,0.085790578288134,0.49873791813854096
25,1,270,0,504,2,802,0.0802,0.2186296820695317,0.08695031001673671,0.49858378032579703
25,1,272,0,506,2,806,0.0806,0.21899395630692386,0.08595056488463591,0.49831304997587694
26,1,274,0,507,2,810,0.081,0.21900751578170932,0.08562450150228781,0.4968954223198894
26,1,278,0,507,2,814,0.0814,0.21870201129460387,0.0859445407216271,0.4953541472210798
27,1,280,0,508,2,818,0.0818,0.2190824974915884,0.08561632633346944,0.493957545609873
27,1,285,0,511,2,826,0.0826,0.22395702769790363,0.08751437022155253,0.4928334752198107
28,1,285,0,515,2,831,0.0831,0.22417494167796465,0.08820225633558551,0.4929851099874189
28,1,287,0,517,2,835,0.0835,0.22363739683234268,0.08721678119689122,0.4927473288446616
28,1,287,0,518,2,836,0.0836,0.22497116598679098,0.08760705643633485,0.49300191662087894
28,1,290,0,519,2,840,0.084,0.2247719419071094,0.08725936839432127,0.4921404410925067
29,1,293,0,525,2,850,0.085,0.2251921016991939,0.08673000284489978,0.49169665108583677
29,1,297,0,530,2,859,0.0859,0.22573356792655036,0.08518723067903393,0.49149458337540164
29,1,298,0,533,2,863,0.0863,0.22535457686796453,0.08505636278941907,0.49188005932188633
30,1,299,0,535,2,867,0.0867,0.22656410153513282,0.08532756950163323,0.49117814850750346
30,1,302,0,539,2,874,0.0874,0.22735200942097494,0.08558122395910736,0.49109456294686255
30,1,303,0,541,2,877,0.0877,0.2277162064103645,0.08607976146583311,0.49123062007088825
30,1,304,0,546,2,883,0.0883,0.23017974314902642,0.08705701543822143,0.49209518287114484
30,1,305,0,549,2,887,0.0887,0.22998640342921203,0.08609910208770483,0.4924670332152535
30,1,305,0,550,2,888,0.0888,0.2297262378144731,0.0858605043376466,0.4927071544439414
30,1,306,0,554,2,893,0.0893,0.23372370661459527,0.08745515031119244,0.49331155278559474
